"stock"	"paramlong"	"value"	"param"
"meg-4a6a"	NA	NA	"Lc"
"meg-rock"	NA	NA	"Lc"
"had-7b-k"	NA	NA	"Lc"
"pol-celt"	NA	NA	"Lc"
"whg-iris"	NA	NA	"Lc"
"whg-7e-k"	NA	NA	"Lc"
"ple-iris"	NA	NA	"Lc"
"ple-celt"	NA	NA	"Lc"
"nep-5"	NA	NA	"Lc"
"nep-10"	NA	NA	"Lc"
"nep-32"	NA	NA	"Lc"
"nep-33"	NA	NA	"Lc"
"san-ns4"	NA	"10"	"Lc"
"san-ns5"	NA	"10"	"Lc"
"san-ns6"	NA	"10"	"Lc"
"san-ns7"	NA	"10"	"Lc"
"pol-nsea"	NA	"Age 3"	"Lc"
"whg-kask"	NA	NA	"Lc"
"ple-kask"	NA	NA	"Lc"
"ple-eche"	NA	NA	"Lc"
"nep-25"	NA	"25"	"Lc"
"nep-31"	NA	NA	"Lc"
"nep-2627"	NA	"20"	"Lc"
"nep-2829"	NA	"23"	"Lc"
"nep-30"	NA	"17"	"Lc"
"sol-8c9a"	NA	NA	"Lc"
"ple-89a"	NA	NA	"Lc"
"pol-89a"	NA	NA	"Lc"
"whg-89a"	NA	NA	"Lc"
